osmid,y,x,street_count,highway,ref,railway,geometry
32927563,37.7860172,-122.390902,3,,,,POINT (-122.390902 37.7860172)
32927591,37.731371,-122.4236705,3,motorway_junction,53,,POINT (-122.4236705 37.731371)
32927645,37.7327065,-122.4132611,3,motorway_junction,54B,,POINT (-122.4132611 37.7327065)
33241803,37.8050417,-122.4034504,5,traffic_signals,,,POINT (-122.4034504 37.8050417)
33242031,37.7990541,-122.4164837,1,,,,POINT (-122.4164837 37.7990541)
54891208,37.7705805,-122.3911917,4,traffic_signals,,,POINT (-122.3911917 37.7705805)
54891395,37.7695721,-122.3927659,3,,,,POINT (-122.3927659 37.7695721)
54891397,37.7696737,-122.3911048,4,,,,POINT (-122.3911048 37.7696737)
54891446,37.7711091,-122.3894111,4,,,,POINT (-122.3894111 37.7711091)
54891461,37.771278,-122.3866019,3,,,,POINT (-122.3866019 37.771278)
54891483,37.7708625,-122.3864767,3,,,,POINT (-122.3864767 37.7708625)
54891501,37.7690188,-122.3863311,3,traffic_signals,,,POINT (-122.3863311 37.7690188)
54891569,37.7689303,-122.3876163,3,stop,,,POINT (-122.3876163 37.7689303)
65279851,37.8053702,-122.4118788,3,,,,POINT (-122.4118788 37.8053702)
65279852,37.8051503,-122.413529,3,,,,POINT (-122.413529 37.8051503)
65279860,37.723583,-122.386139,1,,,,POINT (-122.386139 37.723583)
65279862,37.72304,-122.386628,3,,,,POINT (-122.386628 37.72304)
65279877,37.7212302,-122.388419,1,,,,POINT (-122.388419 37.7212302)
65279891,37.7199375,-122.3894613,4,,,,POINT (-122.3894613 37.7199375)
65279893,37.719298,-122.39002,4,,,,POINT (-122.39002 37.719298)
65279895,37.718688,-122.390564,4,,,,POINT (-122.390564 37.718688)
65279896,37.7180602,-122.391135,4,stop,,,POINT (-122.391135 37.7180602)
65279897,37.7175125,-122.391593,4,,,,POINT (-122.391593 37.7175125)
65279910,37.728678,-122.381564,3,,,,POINT (-122.381564 37.728678)
65279912,37.728051,-122.382126,4,stop,,,POINT (-122.382126 37.728051)
65279914,37.727425,-122.382687,4,stop,,,POINT (-122.382687 37.727425)
65279916,37.726798,-122.383248,4,,,,POINT (-122.383248 37.726798)
65279918,37.726171,-122.38381,3,,,,POINT (-122.38381 37.726171)
65279929,37.7250218,-122.3851264,1,,,,POINT (-122.3851264 37.7250218)
65279961,37.7336422,-122.376989,3,,,,POINT (-122.376989 37.7336422)
65279965,37.7330737,-122.3776537,3,,,,POINT (-122.3776537 37.7330737)
65279971,37.752212,-122.4687333,3,,,,POINT (-122.4687333 37.752212)
65280002,37.7508087,-122.4690178,3,,,,POINT (-122.4690178 37.7508087)
65280018,37.7508352,-122.4686316,3,,,,POINT (-122.4686316 37.7508352)
65280040,37.7492161,-122.4685327,1,,,,POINT (-122.4685327 37.7492161)
65280044,37.7489418,-122.4684993,3,,,,POINT (-122.4684993 37.7489418)
65280050,37.74708,-122.4683702,3,,,,POINT (-122.4683702 37.74708)
65280069,37.7863889,-122.4711296,5,,,,POINT (-122.4711296 37.7863889)
65280072,37.7845276,-122.4709958,4,traffic_signals,,,POINT (-122.4709958 37.7845276)
65280073,37.7826596,-122.4708615,4,,,,POINT (-122.4708615 37.7826596)
65280076,37.778812,-122.4705849,4,,,,POINT (-122.4705849 37.778812)
65280083,37.7769424,-122.4704505,4,,,,POINT (-122.4704505 37.7769424)
65280086,37.7750785,-122.4703166,4,,,,POINT (-122.4703166 37.7750785)
65280094,37.7448686,-122.4682103,1,,,,POINT (-122.4682103 37.7448686)
65280097,37.744127,-122.4681611,3,,,,POINT (-122.4681611 37.744127)
65280099,37.7433923,-122.4681124,3,,,,POINT (-122.4681124 37.7433923)
65280104,37.7658342,-122.4696804,3,,,,POINT (-122.4696804 37.7658342)
65280106,37.7639075,-122.469545,4,stop,,,POINT (-122.469545 37.7639075)
65280110,37.7601763,-122.4692852,4,,,,POINT (-122.4692852 37.7601763)
65280114,37.7583097,-122.4691548,4,,,,POINT (-122.4691548 37.7583097)
65280116,37.7564454,-122.4690246,4,,,,POINT (-122.4690246 37.7564454)
65280118,37.7552316,-122.4689545,3,,,,POINT (-122.4689545 37.7552316)
65280134,37.7749327,-122.4084965,1,,,,POINT (-122.4084965 37.7749327)
65280136,37.7747987,-122.4083293,3,,,,POINT (-122.4083293 37.7747987)
65280138,37.7743588,-122.4077779,3,,,,POINT (-122.4077779 37.7743588)
65280154,37.7906893,-122.4815695,3,,,,POINT (-122.4815695 37.7906893)
65280157,37.790563,-122.4809354,3,,,,POINT (-122.4809354 37.790563)
65280159,37.7906099,-122.4808543,1,,,,POINT (-122.4808543 37.7906099)
65280184,37.7110786,-122.3863226,3,,,,POINT (-122.3863226 37.7110786)
65280284,37.7161347,-122.3900339,3,,,,POINT (-122.3900339 37.7161347)
65280289,37.7178997,-122.3924653,3,,,,POINT (-122.3924653 37.7178997)
65280292,37.7179691,-122.39261,4,,,,POINT (-122.39261 37.7179691)
65280295,37.718487,-122.393545,3,,,,POINT (-122.393545 37.718487)
65280297,37.7195594,-122.3954611,4,stop,,,POINT (-122.3954611 37.7195594)
65280302,37.7206065,-122.397309,4,,,,POINT (-122.397309 37.7206065)
65280323,37.7204823,-122.4501293,4,,,,POINT (-122.4501293 37.7204823)
65280326,37.7193559,-122.450852,4,,,,POINT (-122.450852 37.7193559)
65280347,37.7965829,-122.4562632,3,,,,POINT (-122.4562632 37.7965829)
65280373,37.7941248,-122.4576569,1,turning_circle,,,POINT (-122.4576569 37.7941248)
65280377,37.7336837,-122.426389,4,traffic_signals,,,POINT (-122.426389 37.7336837)
65280380,37.733566,-122.4277144,4,,,,POINT (-122.4277144 37.733566)
65280384,37.7334845,-122.4285745,4,,,,POINT (-122.4285745 37.7334845)
65280393,37.73318,-122.4311489,3,,,,POINT (-122.4311489 37.73318)
65280398,37.7330011,-122.4319773,4,,,,POINT (-122.4319773 37.7330011)
65280425,37.7333561,-122.4328258,4,,,,POINT (-122.4328258 37.7333561)
65280432,37.7336038,-122.4341379,4,traffic_signals,,,POINT (-122.4341379 37.7336038)
65280438,37.7337754,-122.4349924,4,,,,POINT (-122.4349924 37.7337754)
65280452,37.7340737,-122.4366692,3,,,,POINT (-122.4366692 37.7340737)
65280473,37.7348747,-122.4399937,5,traffic_signals,,,POINT (-122.4399937 37.7348747)
65280488,37.7359776,-122.4419063,3,,,,POINT (-122.4419063 37.7359776)
65280502,37.7316437,-122.4316897,3,,,,POINT (-122.4316897 37.7316437)
65280506,37.7322495,-122.432147,3,motorway_junction,52,,POINT (-122.432147 37.7322495)
65280576,37.7343496,-122.438435,3,,,,POINT (-122.438435 37.7343496)
65280632,37.708354,-122.455928,3,,,,POINT (-122.455928 37.708354)
65280635,37.709549,-122.4576804,5,,,,POINT (-122.4576804 37.709549)
65280672,37.733143,-122.3719647,1,turning_circle,,,POINT (-122.3719647 37.733143)
65280694,37.7309563,-122.3739205,3,,,,POINT (-122.3739205 37.7309563)
