CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder,LF_FADD,RT_FADD,LF_TADD,RT_TADD,FROM_CNN,TO_CNN
22928000,ULLOA ST,WEST PORTAL AVE,,,,WEST PORTAL AVE intersection,,32662,,,,,,
14229000,YERBA BUENA DR,FOREST RD \ YERBA BUENA RD,FOREST RD \ NIMITZ LN \ SIGNAL RD \ YERBA BUENA RD,,100 - 299,FOREST RD \ YERBA BUENA RD to FOREST RD \ NIMITZ LN \ SIGNAL RD \ YERBA BUENA RD (100 - 299),,35023,101,100,299,298,34142000,34143000
25956000,WEBSTER ST,FULTON ST,,,,FULTON ST intersection,,34418,,,,,,
12851000,UNION ST,AUGUST ALY,MASON ST,,746 - 799,AUGUST ALY to MASON ST (746 - 799),,32797,751,746,799,798,30067000,25427000
21344000,VALENCIA ST,TIFFANY AVE,,,,TIFFANY AVE intersection,,33266,,,,,,
13291102,VIDAL DR,ACEVEDO AVE,HIGUERA AVE,EAST,201 - 299,ACEVEDO AVE to HIGUERA AVE (201 - 299) -- EAST --,,33846,201,0,299,0,23111000,23109000
26670000,BROADWAY,FILLMORE ST,,,,FILLMORE ST intersection,,7396,,,,,,
34109000,AVENUE I,13TH TI ST,,,,13TH TI ST intersection,,5739,,,,,,
27910000,43RD AVE,ANZA ST,,,,ANZA ST intersection,,4174,,,,,,
12570000,THOMAS AVE,HAWES ST,INGALLS ST,,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),,32101,1201,1200,1299,1298,20121000,20146000
13377000,WALLER ST,CLAYTON ST,BELVEDERE ST,,1500 - 1549,CLAYTON ST to BELVEDERE ST (1500 - 1549),,34049,1501,1500,1549,1548,26407000,26408000
12695000,TRINITY ST,SUTTER ST,BUSH ST,,1 - 99,SUTTER ST to BUSH ST (1 - 99),,32468,1,2,99,98,24718000,24717000
1758000,34TH AVE,TARAVAL ST,ULLOA ST,,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),,3774,2400,2401,2498,2499,23356000,23355000
24378000,14TH ST,VALENCIA ST,,,,VALENCIA ST intersection,,1257,,,,,,
912101,19TH AVE,KIRKHAM ST,LAWTON ST,EAST,1500 - 1598,KIRKHAM ST to LAWTON ST (1500 - 1598) -- EAST --,,1945,1500,0,1598,0,27364000,27343000
26398000,ANZAVISTA AVE,OFARRELL ST,,,,OFARRELL ST intersection,,5207,,,,,,
21844000,ARLINGTON ST,CHARLES ST,,,,CHARLES ST intersection,,5445,,,,,,
25990000,WALLER ST,POTOMAC ST,,,,POTOMAC ST intersection,,34021,,,,,,
1526000,26TH ST,MISSION ST,OSAGE ALY,,3400 - 3423,MISSION ST to OSAGE ALY (3400 - 3423),,3285,3401,3400,3423,3412,21306000,24086000
33734000,BEHR AVE,JOHNSTONE DR,,,,JOHNSTONE DR intersection,,6619,,,,,,
20801000,TOLAND ST,KIRKWOOD AVE,,,,KIRKWOOD AVE intersection,,32244,,,,,,
23736000,WISCONSIN ST,19TH ST,,,,19TH ST intersection,,34851,,,,,,
51365000,WISSER CT,HITCHCOCK ST \ UPTON AVE \ WRIGHT LOOP,,,,HITCHCOCK ST \ UPTON AVE \ WRIGHT LOOP intersection,,34874,,,,,,
35092000,ZOE DELL LN,EASTSIDE COMMONS,,,,EASTSIDE COMMONS intersection,,35134,,,,,,
26752000,WEBSTER ST,CHESTNUT ST,,,,CHESTNUT ST intersection,,34489,,,,,,
21663000,VIENNA ST,SILVER AVE,,,,SILVER AVE intersection,,33862,,,,,,
13652000,WILLIAMS AVE,LUCY ST,CERES ST,,33 - 64,LUCY ST to CERES ST (33 - 64),,34753,33,34,63,64,20511000,20510000
13613000,WHITNEY YOUNG CIR,HILLVIEW CT \ LINDSAY CIR,MABREY CT \ RICHARDS CIR,,141 - 160,HILLVIEW CT \ LINDSAY CIR to MABREY CT \ RICHARDS CIR (141 - 160),,34667,141,142,159,160,28152000,28166000
12609000,THRIFT ST,FAXON AVE,ORIZABA AVE,,227 - 323,FAXON AVE to ORIZABA AVE (227 - 323),,32198,227,232,323,298,22594000,22600000
13681000,WINSTON DR,JUNIPERO SERRA BLVD \ MERCEDES WAY,JUNIPERO SERRA BLVD,,0 - 0,JUNIPERO SERRA BLVD \ MERCEDES WAY to JUNIPERO SERRA BLVD (0 - 0),,34821,0,0,0,0,33411000,23060000
20004000,BURNETT AVE NORTH,BURNETT AVE,BURNETT AVE \ IRON ALY,,1 - 11,BURNETT AVE to BURNETT AVE \ IRON ALY (1 - 11),,7935,0,1,0,11,34012000,32967000
26591000,WEBSTER ST,POST ST,,,,POST ST intersection,,34442,,,,,,
24204000,BRYANT ST,DORE ST,,,,DORE ST intersection,,7708,,,,,,
20381000,VISITACION AVE,BRITTON ST,,,,BRITTON ST intersection,,33933,,,,,,
13617000,WHITNEY YOUNG CIR,NEWCOMB AVE,BASS CT,,80 - 89,NEWCOMB AVE to BASS CT (80 - 89),,34675,81,80,89,88,33204000,28223000
24307000,WASHBURN ST,HOWARD ST,,,,HOWARD ST intersection,,34116,,,,,,
25147000,TURK ST,LARKIN ST,,,,LARKIN ST intersection,,32567,,,,,,
3620000,CAMBRIDGE ST,SWEENY ST,SILVER AVE,,131 - 199,SWEENY ST to SILVER AVE (131 - 199),,8429,131,132,199,198,20974000,20992000
13324000,VISITACION AVE,RUTLAND ST,CORA ST,,900 - 999,RUTLAND ST to CORA ST (900 - 999),,33924,901,900,999,998,20349000,20348000
13007000,UPLAND DR,NORTHGATE DR,MANOR DR,,65 - 199,NORTHGATE DR to MANOR DR (65 - 199),,33105,65,100,199,198,22686000,22688000
12855000,UNION ST,JONES ST,BLACK PL,,1000 - 1049,JONES ST to BLACK PL (1000 - 1049),,32805,1001,1000,1049,1044,25490000,25492000
23353000,ULLOA ST,33RD AVE,,,,33RD AVE intersection,,32712,,,,,,
13597000,WHEELER AVE,BLANKEN AVE,LATHROP AVE,,300 - 399,BLANKEN AVE to LATHROP AVE (300 - 399),,34610,301,300,399,398,20285000,20284000
