osmid,y,x,street_count,highway,ref,railway,geometry
65280094,37.7448686,-122.4682103,1,,,,POINT (-122.4682103 37.7448686)
65280097,37.744127,-122.4681611,3,,,,POINT (-122.4681611 37.744127)
65280099,37.7433923,-122.4681124,3,,,,POINT (-122.4681124 37.7433923)
65281401,37.719809,-122.474293,3,,,,POINT (-122.474293 37.719809)
65281547,37.7332051,-122.4939058,3,,,,POINT (-122.4939058 37.7332051)
65282059,37.7175065,-122.4743876,3,,,,POINT (-122.4743876 37.7175065)
65282123,37.7337798,-122.491574,3,,,,POINT (-122.491574 37.7337798)
65282347,37.73375,-122.495416,3,,,,POINT (-122.495416 37.73375)
65282353,37.7321324,-122.4938307,3,,,,POINT (-122.4938307 37.7321324)
65283131,37.7142281,-122.4715158,3,,,,POINT (-122.4715158 37.7142281)
65283145,37.7127383,-122.4698369,3,,,,POINT (-122.4698369 37.7127383)
65283986,37.7332119,-122.4937514,3,,,,POINT (-122.4937514 37.7332119)
65283993,37.7338951,-122.4924804,3,,,,POINT (-122.4924804 37.7338951)
65284000,37.7321258,-122.4936753,3,,,,POINT (-122.4936753 37.7321258)
65284828,37.7127152,-122.4706332,3,,,,POINT (-122.4706332 37.7127152)
65284849,37.7125409,-122.4711665,3,,,,POINT (-122.4711665 37.7125409)
65284851,37.7129786,-122.4712324,3,motorway_junction,,,POINT (-122.4712324 37.7129786)
65284868,37.712818,-122.4709658,3,,,,POINT (-122.4709658 37.712818)
65285870,37.7197923,-122.4757079,3,,,,POINT (-122.4757079 37.7197923)
65286997,37.712534,-122.4713401,3,motorway_junction,,,POINT (-122.4713401 37.712534)
65287033,37.7139467,-122.4716277,3,motorway_junction,,,POINT (-122.4716277 37.7139467)
65287720,37.7435768,-122.4658875,3,,,,POINT (-122.4658875 37.7435768)
65287725,37.7413221,-122.4667176,4,,,,POINT (-122.4667176 37.7413221)
65287734,37.7400147,-122.4680234,4,,,,POINT (-122.4680234 37.7400147)
65287736,37.738521,-122.4696874,4,,,,POINT (-122.4696874 37.738521)
65287741,37.7376555,-122.4709552,4,,,,POINT (-122.4709552 37.7376555)
65287746,37.7375643,-122.4731672,3,,,,POINT (-122.4731672 37.7375643)
65287762,37.7374593,-122.475383,4,traffic_signals,,,POINT (-122.475383 37.7374593)
65287763,37.7374162,-122.4763947,4,,,,POINT (-122.4763947 37.7374162)
65287766,37.7373712,-122.4774662,4,,,,POINT (-122.4774662 37.7373712)
65287776,37.7372381,-122.481658,3,,,,POINT (-122.481658 37.7372381)
65287782,37.7374818,-122.4828819,1,,,,POINT (-122.4828819 37.7374818)
65287805,37.7369632,-122.487495,3,,,,POINT (-122.487495 37.7369632)
65287831,37.7379087,-122.4901588,3,,,,POINT (-122.4901588 37.7379087)
65287834,37.7378645,-122.4903922,3,,,,POINT (-122.4903922 37.7378645)
65287857,37.7370741,-122.4924861,4,,,,POINT (-122.4924861 37.7370741)
65287867,37.7366405,-122.4941464,4,,,,POINT (-122.4941464 37.7366405)
65287871,37.7366118,-122.4946019,4,,,,POINT (-122.4946019 37.7366118)
65287875,37.7365641,-122.495677,4,,,,POINT (-122.495677 37.7365641)
65287878,37.7365167,-122.496747,4,,,,POINT (-122.496747 37.7365167)
65287879,37.7364692,-122.4978165,4,stop,,,POINT (-122.4978165 37.7364692)
65287881,37.7364217,-122.4988879,3,stop,,,POINT (-122.4988879 37.7364217)
65287885,37.7363742,-122.4999583,4,stop,,,POINT (-122.4999583 37.7363742)
65287888,37.7363266,-122.5010318,4,,,,POINT (-122.5010318 37.7363266)
65287895,37.7362315,-122.5031768,4,stop,,,POINT (-122.5031768 37.7362315)
65287898,37.736184,-122.5042462,4,stop,,,POINT (-122.5042462 37.736184)
65287902,37.7361365,-122.5053175,4,stop,,,POINT (-122.5053175 37.7361365)
65287905,37.7360967,-122.5062142,3,,,,POINT (-122.5062142 37.7360967)
65288802,37.7129857,-122.472726,4,traffic_signals,,,POINT (-122.472726 37.7129857)
65289521,37.7459548,-122.4947988,4,traffic_signals,,,POINT (-122.4947988 37.7459548)
65289529,37.7440896,-122.4946682,4,,,,POINT (-122.4946682 37.7440896)
