u,v
65280094,65280097
65280097,65280094
65280097,65280099
65280097,65349256
65280099,65365901
65280099,65280097
65280099,65340451
65281401,65315986
65281401,258757617
65281547,65282353
65281547,302912544
65282059,1201417904
65282059,65354498
65282059,65291691
65282123,65342101
65282123,258922135
65282123,65342098
65282347,65282353
65282347,302912544
65282353,65289573
65283131,315417477
65283145,65283131
65283145,65284868
65283986,4407739095
65283993,258922135
65284000,65283986
65284000,65283993
65284828,65284849
65284828,260168596
65284849,65284851
65284851,65284868
65284851,65283131
65284868,612723135
65285870,65291691
65285870,65291683
65286997,4073063877
65286997,612724723
65287033,65286997
65287033,1350167104
65287720,65360198
65287720,65287725
65287725,65287720
65287725,1707842763
65287725,65327955
65287725,65287734
65287734,65287736
65287734,65340911
65287734,65287725
65287734,1707875334
65287736,65287734
65287736,65287741
65287736,65340931
65287736,1707875140
65287741,65287736
65287741,4044866160
65287741,1707875211
65287741,65340935
65287746,4044866160
65287746,65340939
65287746,65329602
65287762,258757448
65287762,65287763
65287762,65316139
65287763,65287766
65287763,65340947
65287763,4035920531
65287763,65287762
65287766,4035920524
65287766,65287763
65287766,4035920529
65287766,65340952
65287776,1196699108
65287776,65287782
65287776,4035891345
65287782,65287776
65287805,4045528444
65287805,65328500
65287831,65287834
65287831,65287805
65287834,750039531
65287834,65287831
65287834,65333157
65287857,65340959
65287857,65358533
65287857,4034195443
65287857,4045528439
65287867,258916780
65287867,1809552695
65287867,65287871
65287871,65287875
65287871,65287867
65287871,65296105
65287871,65296110
65287875,65287878
65287875,65287871
65287875,65329585
65287875,65329583
65287878,65287875
65287878,65341574
65287878,65340964
65287878,65287879
65287879,65287881
65287879,65287878
65287879,65350556
65287879,65340967
65287881,65365439
65287881,65287879
65287881,65287885
65287885,65287888
65287885,65287881
65287885,65330018
65287885,65330013
65287888,12116268953
65287888,65287885
65287888,65297035
65287888,65297028
65287895,65287898
65287895,12116268953
65287895,2630856888
65287895,65340973
65287898,65287895
65287898,65309776
65287898,65309778
65287902,65287898
65287902,65287905
65287902,4034544344
65287902,65322168
65287905,4034544343
65287905,65287902
65287905,65320244
65288802,260168259
65288802,3462373347
65288802,612723533
65289521,258916769
65289521,65296100
65289521,65289529
65289529,258916782
65289529,12462731892
65289529,65295170
65289538,258916797
65289538,6356789744
65289538,12498396189
65289545,258916805
65289545,65289552
65289545,65296104
65289552,258916766
65289552,65287867
65289552,65296105
65289573,258916794
65289573,65342106
65289573,1196749436
65291587,65291599
65291587,3645308400
65291599,258755840
65291599,65291587
65291599,2420468442
65291599,65314788
65291602,258755840
65291602,65291604
65291602,65315071
65291604,65291602
65291604,65324074
65291604,65360365
65291604,65291619
65291619,6325970951
65291619,1366462491
65291619,65291604
65291627,1201417904
65291627,65303032
65291639,65295530
65291639,347808294
65291639,612715052
65291641,612716327
65291641,612715995
65291647,65295533
65291647,612716327
65291654,65295536
65291654,65291658
65291654,612716404
65291658,65291654
65291658,65337335
65291658,65337333
65291683,8076008490
65291683,65307543
65291691,65291695
65291691,65359394
65291691,65282059
65291691,65285870
65291695,65291691
65291695,1201417904
65291695,65316823
65292201,65292224
65292201,65292203
65292201,65307567
65292203,258967500
65292203,65330886
65292208,4071045528
65292208,65292216
65292216,1202331982
65292216,1196848008
65292216,65292208
65292224,65292201
65292224,65337333
65293133,65295147
65293133,65295139
65293133,65293135
65293135,65293138
65293135,65293133
65293135,65306600
65293135,65322480
65293138,65306602
65293138,65322482
65293138,65293141
65293138,65293135
65293141,65306604
65293141,65293138
65293141,999546390
65293718,4047651411
65293718,65317286
65293718,65317279
65294644,258757620
65294644,1201336180
65294646,65307545
65294646,65363646
65295108,65295111
65295108,65364837
65295111,2287779381
65295111,65295108
65295111,12195577844
65295118,2287779377
65295118,65295120
65295118,11337742045
65295120,65295118
65295120,258757444
65295120,12195577835
65295122,258757444
65295122,65295126
65295122,12195577850
65295126,65295128
65295126,65295122
65295126,12195577839
65295128,65295130
65295128,65295126
65295128,12195577840
65295130,65295132
65295130,65295128
65295130,12195577841
65295132,65295130
65295132,65297144
65295132,65295135
65295135,65295139
65295135,65309583
65295135,65295132
65295139,65293133
65295139,65295135
65295139,65322480
65295147,65295150
65295147,65293133
65295147,65306600
65295150,65295153
65295150,65295147
65295150,65318544
65295153,65295156
65295153,65295150
65295153,65328478
65295156,65295158
65295156,65295153
65295156,65320136
65295158,65307202
65295158,65295160
65295158,65295156
65295158,65307205
65295160,65310657
65295160,65295162
65295160,65295158
65295160,65333152
65295162,65299685
65295162,65295164
65295162,65295160
65295162,65299691
65295164,65295168
65295164,65295162
65295164,65364777
65295164,65310660
65295168,65295164
65295168,65310662
65295168,6356789749
65295168,258916782
65295170,65295172
65295170,12498424404
65295170,65296100
65295170,65289529
65295172,65295177
65295172,65295170
65295172,65329578
65295172,65310665
65295177,65295179
65295177,65295172
65295177,65341568
65295177,65310667
65295179,65295181
65295179,65295177
65295179,12116291923
65295179,65310670
65295181,65295183
65295181,65295179
65295181,65310673
65295181,65342742
65295183,65295187
65295183,65295181
65295183,11268318786
65295183,65310675
65295187,65295190
65295187,65295183
65295187,65297024
65295187,65297020
65295190,65295192
65295190,65295187
65295190,65310678
65295190,65357344
65295192,65295206
65295192,65295190
65295192,65366846
65295192,65310680
65295206,65295214
65295206,65295192
65295206,65309772
65295206,65309770
65295214,65295218
65295214,65295206
65295214,65322161
65295214,65310684
65295218,65295214
65295218,65310688
65295218,65295223
65295223,65320234
65295223,65310690
65295223,65295218
65295530,65295533
65295530,65291639
65295530,612715995
65295533,65295536
65295533,65295530
65295533,1196851008
65295533,65291647
65295536,65295538
65295536,65295533
65295536,1196851008
65295536,65291654
65295538,65295536
65295538,65337335
65295538,65330829
65295538,65295543
65295543,258967501
65295543,65330829
65295543,65295556
65295543,65295538
65295556,65295543
65296100,65310665
65296100,65289521
65296100,65295170
65296104,65329581
65296104,65289545
65296104,65296105
65296104,6356789739
65296105,65329583
65296105,65289552
65296105,65287871
65296105,65296104
65296110,4407739094
65296110,65329585
65296110,1809551380
65296110,65287871
65296591,4047651410
65296591,1196702052
65296591,65317286
65296954,1607089652
65296954,65297427
65296954,65296961
65296961,65332289
65296961,65296970
65296961,65296954
65296970,65296961
65296970,8274993660
65297020,65310678
65297020,65310675
65297020,65295187
65297024,65297026
65297024,65295187
65297024,11268318790
65297024,65357344
65297024,65357344
65297024,11268318789
65297026,65353320
65297026,65297028
65297026,65297024
65297026,65330010
65297028,65287888
65297028,65297026
65297028,65340972
65297028,65330013
65297035,2630856848
65297035,65357346
65297035,65287888
65297108,4062847020
65297108,4062847056
65297108,65309568
65297108,65329934
65297144,65309583
65297144,6356743346
65297144,65297147
65297144,65295132
65297147,65297149
65297147,65309586
65297147,65329911
