u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,bridge,tunnel,geometry,width,access,junction,artificial
65280094,65280097,0.0,8914973,residential,2,,12th Avenue,False,,False,82.57566916063789,,,"LINESTRING (-122.4682103 37.7448686, -122.4681611 37.744127)",,,,False
65280097,65280094,0.0,8914973,residential,2,,12th Avenue,False,,True,82.57566916063789,,,"LINESTRING (-122.4681611 37.744127, -122.4682103 37.7448686)",,,,False
65280097,65280099,0.0,8914973,residential,2,,12th Avenue,False,,False,81.80717590578931,,,"LINESTRING (-122.4681611 37.744127, -122.468133 37.7437032, -122.4681188 37.7434887, -122.4681124 37.7433923)",,,,False
65280097,65349256,0.0,29496503,residential,,,Magellan Avenue,False,,True,176.5192033710245,,,"LINESTRING (-122.4681611 37.744127, -122.4680774 37.7441338, -122.4662496 37.7442833, -122.4661642 37.7442903)",,,,False
65280099,65365901,0.0,28575128,tertiary,2,25 mph,Taraval Street,False,,True,27.467327369666933,,,"LINESTRING (-122.4681124 37.7433923, -122.4678017 37.7434179)",,,,False
65280099,65280097,0.0,8914973,residential,2,,12th Avenue,False,,True,81.80717590578931,,,"LINESTRING (-122.4681124 37.7433923, -122.4681188 37.7434887, -122.468133 37.7437032, -122.4681611 37.744127)",,,,False
65280099,65340451,0.0,28575128,tertiary,2,25 mph,Taraval Street,False,,False,94.27399295291784,,,"LINESTRING (-122.4681124 37.7433923, -122.468212 37.7433852, -122.4682503 37.7433826, -122.4684077 37.743375, -122.4684624 37.7433723, -122.4687049 37.7433622, -122.4690273 37.7433488, -122.4690888 37.7433459, -122.4691826 37.743342)",,,,False
65281401,65315986,0.0,8917726,residential,,,Banbury Drive,True,,False,47.1731371914232,,,"LINESTRING (-122.474293 37.719809, -122.4743437 37.7197813, -122.474603 37.7196236, -122.4746175 37.7196152, -122.474722 37.7195545)",,,,False
65281401,258757617,0.0,8918660,residential,,,Denslowe Drive,True,,False,157.45277463967076,,,"LINESTRING (-122.474293 37.719809, -122.4743747 37.7199405, -122.474429 37.7200391, -122.4744749 37.7201439, -122.4745048 37.7202544, -122.4745222 37.7203655, -122.4745302 37.7204773, -122.4745391 37.7206425, -122.4745442 37.720822, -122.4745472 37.7209815, -122.474545 37.7210884, -122.4745449 37.7210905, -122.4745404 37.7211911)",,,,False
65281547,65282353,0.0,133748416,secondary,3,30 mph,Sunset Boulevard,True,,False,119.4616669633468,,,"LINESTRING (-122.4939058 37.7332051, -122.4938307 37.7321324)",,,,False
65281547,302912544,0.0,8915036,primary_link,,,,True,,False,143.03156406757432,,,"LINESTRING (-122.4939058 37.7332051, -122.4939152 37.733167, -122.4939326 37.7331337, -122.4939561 37.733104, -122.493988 37.7330787, -122.4940347 37.7330558, -122.4940904 37.7330499, -122.494145 37.7330557, -122.4941975 37.7330758, -122.4942433 37.7331047, -122.4942972 37.7331464, -122.4943592 37.7332024, -122.4944161 37.7332628, -122.4944687 37.7333276, -122.4945066 37.7333891, -122.4945387 37.7334569, -122.4945566 37.7335188, -122.4945609 37.7335742, -122.4945587 37.733619, -122.4945458 37.73366, -122.4945365 37.7336848, -122.4945222 37.7337076, -122.4944923 37.7337407, -122.4944526 37.7337659, -122.4944094 37.7337841, -122.4943596 37.7337967, -122.4942733 37.7338168)",,,cloverleaf,False
65282059,1201417904,0.0,8915889,residential,,,Castelo Avenue,False,,False,83.0744191631948,,,"LINESTRING (-122.4743876 37.7175065, -122.4745017 37.7174943, -122.4752257 37.7174176, -122.4753237 37.7174073)",,,,False
65282059,65354498,0.0,8922938,residential,,,Cambon Drive,False,,False,69.65694902378033,,,"LINESTRING (-122.4743876 37.7175065, -122.4743792 37.7174603, -122.4743086 37.7170355, -122.4742835 37.7168855)",,,,False
65282059,65291691,0.0,"[8922938, 225808828]",residential,,,"['Cardenas Avenue', 'Cambon Drive']",False,,True,241.09344826294003,,,"LINESTRING (-122.4743876 37.7175065, -122.4743977 37.7175695, -122.474445 37.7178484, -122.4744902 37.7181183, -122.4745427 37.7184313, -122.4745753 37.7186242, -122.4745991 37.7187674, -122.4746147 37.7188068, -122.4746356 37.7188438, -122.4746649 37.7188777, -122.4748002 37.7190178, -122.474827 37.7190284, -122.474863 37.719036, -122.4754428 37.7189756, -122.4755454 37.7189708)",,,,False
65282123,65342101,0.0,8919971,residential,,,Morningside Drive,False,,False,266.7570775958474,,,"LINESTRING (-122.491574 37.7337798, -122.4916695 37.7337756, -122.4922768 37.7337488, -122.4923128 37.733746, -122.4923447 37.7337407, -122.4923747 37.7337276, -122.4923981 37.7337063, -122.4924139 37.7336813, -122.4924192 37.7336526, -122.4924193 37.7336202, -122.4923114 37.7320934, -122.4923034 37.7319795)",,,,False
65282123,258922135,0.0,133748355,residential,,,Clearfield Drive,False,,False,21.071306438891497,,,"LINESTRING (-122.491574 37.7337798, -122.4915654 37.7338103, -122.4915565 37.7338267, -122.4915487 37.7338395, -122.4915246 37.7338734, -122.4914549 37.7339411)",,,,False
65282123,65342098,0.0,133748355,residential,,,Clearfield Drive,False,,True,196.3240020494877,,,"LINESTRING (-122.491574 37.7337798, -122.4915738 37.7337341, -122.4915691 37.7336666, -122.4914627 37.7321352, -122.4914547 37.7320168)",,,,False
65282347,65282353,0.0,8915096,primary_link,,,,True,,False,238.83085632625605,,,"LINESTRING (-122.495416 37.73375, -122.4952864 37.7337299, -122.4951946 37.7337086, -122.4951004 37.7336812, -122.4950883 37.7336764, -122.4950124 37.7336459, -122.4949392 37.7336092, -122.4948664 37.7335627, -122.4948092 37.7335161, -122.4947468 37.73346, -122.4946893 37.7334004, -122.4940196 37.7325839, -122.4940074 37.7325691, -122.4939685 37.7325175, -122.4939341 37.7324611, -122.4939101 37.732412, -122.4938867 37.732349, -122.4938661 37.7322838, -122.4938462 37.7322115, -122.4938307 37.7321324)",,,cloverleaf,False
65282347,302912544,0.0,31089969,primary,3,35 mph,Sloat Boulevard,True,CA 35,False,100.76641330022032,,,"LINESTRING (-122.495416 37.73375, -122.4951766 37.7337652, -122.4950163 37.7337742, -122.4947746 37.7337899, -122.4946845 37.7337954, -122.4945989 37.7338005, -122.4944369 37.733808, -122.4942733 37.7338168)",,,,False
65282353,65289573,0.0,133748416,secondary,3,30 mph,Sunset Boulevard,True,,False,24.425323270991232,,,"LINESTRING (-122.4938307 37.7321324, -122.4938235 37.7320297, -122.4938225 37.7320153, -122.4938226 37.7320045, -122.4938153 37.7319131)",,,,False
65283131,315417477,0.0,"[513671571, 619535708]",trunk,"['4', '3']",45 mph,Junipero Serra Boulevard,True,CA 1,False,248.32244390724685,,,"LINESTRING (-122.4715158 37.7142281, -122.4715598 37.7143593, -122.4716002 37.7144837, -122.4716439 37.714612, -122.4716904 37.7147393, -122.4717376 37.7148661, -122.4717854 37.7149948, -122.471833 37.7151224, -122.4721724 37.7160259, -122.4722156 37.7161394, -122.4722619 37.7162711, -122.4722692 37.7162953, -122.4722797 37.7163239, -122.4722961 37.7163741)",,,,False
65283145,65283131,0.0,8915189,trunk_link,1,,,True,,False,230.4282463574096,,,"LINESTRING (-122.4698369 37.7127383, -122.4702039 37.7128704, -122.4702549 37.7128903, -122.4703029 37.712914, -122.4703431 37.7129365, -122.4703818 37.7129618, -122.4704177 37.7129872, -122.4704588 37.7130176, -122.4710271 37.7134505, -122.4710752 37.7134882, -122.471115 37.7135216, -122.4711522 37.7135569, -122.4711832 37.7135901, -122.4712154 37.7136303, -122.4712412 37.7136664, -122.4712686 37.7137126, -122.4712916 37.713756, -122.471317 37.7138073, -122.4715158 37.7142281)",,,,False
